Date,Description,Amount,Category
3/25/2024,MINT MOBILE,53.93,Phone/Cables
2/10/2024,ALDI,46.34,Grocery
1/11/2024,GREAT WALL SUPERMARKET,41.22,Grocery
4/11/2024,KROGER,39.14,Grocery
1/31/2024,ALDI,37.77,Grocery
7/20/2024,TIKTOK,33.32,Grocery
1/7/2024,KROGER,31.59,Grocery
3/31/2024,KROGER,30.94,Grocery
4/24/2024,KROGER,30.75,Grocery
7/29/2024,KROGER,30.18,Grocery
7/12/2024,LIDL,29.51,Grocery
4/30/2024,KROGER,28.75,Grocery
7/21/2024,KROGER,27.66,Grocery
4/19/2024,KROGER,27.37,Grocery
2/17/2024,ALDI,26.69,Grocery
7/1/2024,KROGER,26.43,Grocery
2/22/2024,GREAT WALL SUPERMARKET,24.55,Grocery
5/20/2024,KROGER,24.46,Grocery
1/13/2024,LIDL,24.14,Grocery
1/24/2024,KROGER,23.57,Grocery
2/3/2024,ALDI,23.53,Grocery
7/27/2024,KROGER,23.41,Grocery
3/27/2024,ALDI,23.06,Grocery
3/24/2024,KROGER,22.83,Grocery
8/7/2024,KROGER,22.49,Grocery
8/1/2024,KROGER,22.35,Grocery
1/18/2024,GREAT WALL SUPERMARKET,20.84,Grocery
2/5/2024,KROGER,20.78,Grocery
2/19/2024,KROGER,20.77,Grocery
4/17/2024,KROGER,20.69,Grocery
2/14/2024,ALDI,20.53,Grocery
6/27/2024,LIDL,20.07,Grocery
3/2/2024,KROGER,19.9,Grocery
2/7/2024,USPS,19.09,Shipping
10/3/2024,GREAT WALL SUPERMARKET,18.96,Grocery
5/12/2024,ALDI,18.71,Grocery
8/4/2024,KROGER,18.45,Grocery
3/15/2024,KROGER,18.13,Grocery
6/28/2024,LIDL,17.26,Grocery
4/21/2024,ALDI,17.13,Grocery
1/18/2024,KROGER,17.08,Grocery
6/28/2024,KROGER,17.06,Grocery
3/19/2024,ALDI,16.7,Grocery
3/12/2024,KROGER,16.64,Grocery
1/15/2024,KROGER,16.62,Grocery
4/6/2024,KROGER,16.1,Grocery
3/29/2024,KROGER,15.85,Grocery
2/25/2024,ALDI,15.75,Grocery
4/3/2024,KROGER,15.31,Grocery
3/22/2024,ALDI,15.17,Grocery
5/3/2024,ALDI,15.03,Grocery
3/6/2024,ALDI,15,Grocery
4/10/2024,UBER EATS,14.42,Dining
4/9/2024,KROGER,14.17,Grocery
2/12/2024,KROGER,14.08,Grocery
1/5/2024,KROGER,14.05,Grocery
8/5/2024,KROGER,13.79,Grocery
3/23/2024,PANERA BREAD,13.67,Dining
7/19/2024,LIDL,13.64,Grocery
7/26/2024,GOOD FORTUNE,13.54,Grocery
1/28/2024,ALDI,13.43,Grocery
3/16/2024,KROGER,13.27,Grocery
1/22/2024,KROGER,12.98,Grocery
3/4/2024,KROGER,12.96,Grocery
5/4/2024,KROGER,12.94,Grocery
2/17/2024,DoorDash,12.81,Dining
8/6/2024,KROGER,12.67,Grocery
3/12/2024,ALDI,12.65,Grocery
5/8/2024,Graduation Gift,12.64,School
4/20/2024,KROGER,12.35,Grocery
3/10/2024,ALDI,12.21,Grocery
4/12/2024,LIDL,12.2,Grocery
1/21/2024,ALDI,12.17,Grocery
2/1/2024,GIANT,12.11,Grocery
3/29/2024,DoorDash,12.07,Dining
1/14/2024,CAVA,11.93,Dining
3/28/2024,DoorDash,11.9,Dining
7/24/2024,CHIPOTLE,11.85,Dining
7/3/2024,LIDL,11.85,Grocery
2/7/2024,KROGER,11.74,Grocery
7/30/2024,PANERA BREAD,11.44,Dining
2/27/2024,STARBUCKS,11.01,Dining
1/27/2024,KROGER,10.97,Grocery
9/13/2024,LIDL,10.69,Grocery
3/26/2024,ALDI,10.67,Grocery
1/13/2024,SHAKE SHACK,10.59,Dining
5/29/2024,KROGER,10.52,Grocery
6/30/2024,LIDL,10.41,Grocery
6/24/2024,KROGER,10.14,Grocery
5/15/2024,KROGER,10.08,Grocery
1/4/2024,WEIGHT CLUB,10,Gym
3/8/2024,KROGER,9.96,Grocery
2/3/2024,McDonalds,9.88,Dining
6/28/2024,GOOD FORTUNE,9.67,Grocery
8/10/2024,CHIPOTLE,9.46,Dining
5/6/2024,CHIPOTLE,9.46,Dining
3/18/2024,CHIPOTLE,9.46,Dining
2/13/2024,CHIPOTLE,9.46,Dining
7/3/2024,GIANT,9.43,Grocery
9/11/2024,LIDL,9.09,Grocery
8/5/2024,LIDL,8.94,Grocery
6/29/2024,PANDA EXPRESS,8.81,Dining
9/4/2024,H MART,8.75,Grocery
2/19/2024,ROOTS NATURAL KITCHEN,8.74,Dining
2/28/2024,ALDI,8.7,Grocery
7/19/2024,GIANT,8.6,Grocery
1/26/2024,LIDL,8.57,Grocery
7/15/2024,PANDA EXPRESS,8.26,Dining
5/23/2024,GIANT,8.12,Grocery
6/23/2024,ALDI,7.87,Grocery
4/4/2024,ALDI,7.81,Grocery
8/18/2024,Subway,7.78,Dining
2/7/2024,Subway,7.78,Dining
1/25/2024,Subway,7.78,Dining
1/4/2024,Subway,7.78,Dining
2/17/2024,KROGER,7.62,Grocery
6/11/2024,LIDL,7.5,Grocery
3/27/2024,LIDL,7.42,Grocery
6/10/2024,FIREHOUSE SUBS,7.23,Dining
5/6/2024,LIDL,7.05,Grocery
7/24/2024,PANERA BREAD,6.67,Dining
4/26/2024,ALDI,6.65,Grocery
1/18/2024,GIANT,6.62,Grocery
4/9/2024,GREAT WALL SUPERMARKET,6.61,Grocery
3/19/2024,OASIS,6.57,Grocery
4/25/2024,KROGER,6.55,Grocery
2/4/2024,LIDL,6.55,Grocery
9/7/2024,LIDL,6.46,Grocery
7/3/2024,GOOD FORTUNE,6.45,Grocery
7/10/2024,LIDL,6.37,Grocery
1/30/2024,DOLLAR GENERAL,6.32,Merchandise
7/11/2024,LIDL,6.15,Grocery
6/30/2024,LIDL,6.06,Grocery
3/18/2024,KROGER,6.05,Grocery
3/2/2024,TARGET,6.05,Merchandise
1/25/2024,KROGER,6.04,Grocery
1/29/2024,LIDL,6.04,Grocery
4/29/2024,LIDL,6.03,Grocery
2/1/2024,GOOD FORTUNE,6.01,Grocery
4/13/2024,KROGER,5.84,Grocery
8/15/2024,LIDL,5.84,Grocery
4/27/2024,KROGER,5.53,Grocery
1/10/2024,KROGER,5.52,Grocery
6/2/2024,KROGER,5.4,Grocery
2/22/2024,McDonalds,5.18,Dining
4/17/2024,FIREHOUSE SUBS,5.11,Dining
6/3/2024,LIDL,5.03,Grocery
7/5/2024,LIDL,4.95,Grocery
9/14/2024,LIDL,4.63,Grocery
3/8/2024,KROGER,4.53,Grocery
7/31/2024,KROGER,4.32,Grocery
2/21/2024,STARBUCKS,4.06,Dining
2/2/2024,KROGER,4.04,Grocery
1/7/2024,KROGER,4.04,Grocery
9/12/2024,LIDL,4.03,Grocery
8/6/2024,LIDL,4.02,Grocery
7/26/2024,ALDI,3.99,Grocery
6/26/2024,APPLE.COM/BILL,3.99,Other
6/25/2024,APPLE.COM/BILL,3.99,Other
6/19/2024,APPLE.COM/BILL,3.99,Other
6/17/2024,APPLE.COM/BILL,3.99,Other
6/8/2024,APPLE.COM/BILL,3.99,Other
4/28/2024,LIDL,3.97,Grocery
4/8/2024,GREAT WALL SUPERMARKET,3.84,Grocery
6/29/2024,KROGER,3.83,Grocery
1/10/2024,KROGER,3.83,Grocery
7/21/2024,LIDL,3.78,Grocery
4/14/2024,ALDI,3.62,Grocery
8/16/2024,BESTWAY,3.43,Grocery
8/4/2024,KROGER,3.37,Grocery
2/27/2024,LIDL,3.32,Grocery
1/29/2024,KROGER,3.25,Grocery
2/2/2024,DOLLAR GENERAL,3.16,Merchandise
7/2/2024,LIDL,3.03,Grocery
9/26/2024,GIANT,3.02,Grocery
2/26/2024,KROGER,3.02,Grocery
7/31/2024,LIDL,3.02,Grocery
4/8/2024,LIDL,3.02,Grocery
1/25/2024,LIDL,3.02,Grocery
7/19/2024,DOLLARTREE,2.65,Merchandise
7/18/2024,STARBUCKS,2.54,Dining
4/28/2024,KROGER,2.51,Grocery
5/14/2024,LIDL,2.51,Grocery
5/2/2024,UNIQUE,2.37,Merchandise
8/3/2024,LIDL,2.02,Grocery
5/15/2024,LIDL,2.01,Grocery
2/21/2024,SHEETZ,2.01,Grocery
6/24/2024,KROGER,1.75,Grocery
4/10/2024,UBER EATS,1.6,Dining
9/23/2024,LIDL,1.6,Grocery
1/11/2024,COSTCO,1.59,Dining
9/3/2024,LIDL,1.52,Grocery
1/17/2024,LIDL,1.07,Grocery
7/3/2024,APPLE.COM/BILL,0.99,Other
6/26/2024,APPLE.COM/BILL,0.99,Other
3/30/2024,KROGER,0.89,Grocery
7/18/2024,BESTWAY,0.81,Grocery
9/19/2024,APPLE.COM/BILL,0.29,Other
8/26/2024,APPLE.COM/BILL,0.29,Other
